"image","C","U","S","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"0000085.jpg",23,21,44,0.00332424635234083,0.0312399647109135,-0.121342900452471,-0.0209512845814389,0.0167070409258047,-0.117360197200789,0.0156486670223972,-0.0266161042908502,0.0663323873762708,-0.067854457527038
"0000086.jpg",1,18,19,-0.0205940022773543,-0.0872243100109928,-0.0214232759453142,-0.0404396860977918,-0.0511580944293688,-0.0117116179409096,0.00517078990625827,0.0153920943664134,-0.0154853213062201,-0.011082617574037
"0000087.jpg",28,11,39,0.020197316189226,0.0915583770476086,-0.142243406793891,-0.0796187387316135,0.011061134784089,0.0412800372629462,-0.114621624397403,0.0581340301477069,-0.0445111222440271,0.00124371977695121
"0000088.jpg",14,22,36,-0.0183636207144273,-0.0504372004912461,0.0162920870489987,-0.0631258816503272,0.0904985029497392,-0.0284773019953547,0.00908060227159554,-0.0832267645051376,0.115209559428323,0.139531481600919
"0000090.jpg",28,9,37,0.0485387953951137,0.0544569941041751,-0.00963298928564092,-0.0585200717908815,-0.0883650893349796,-0.0102644755968409,0.0485317675859278,0.0757607065527287,0.0292552194838241,-0.00209910422757575
"0000091.jpg",28,11,39,-0.057152369774173,0.0444468219139746,-0.107175766898268,-0.0701703875423455,0.0320656869356704,-0.0634869237886524,0.0506715049731965,-0.178233747881812,-0.061572778205713,0.0304790640269507
"0000092.jpg",16,27,43,0.00345994264073117,-0.0876631690155457,-0.0169996525818266,0.199221046742462,0.0728901151498106,-0.0707332582952467,-0.0448862422389168,0.128903611563132,0.0108336867071251,-0.0141342504965842
"0000093.jpg",24,8,32,0.077855460190317,-0.0130722167312837,0.0301962135149145,0.0192212132876502,-0.0622559210512881,0.054823882149564,0.109821659441532,0.0680025679680755,0.0208690785925015,0.0267178557788602
"0000094.jpg",13,11,24,0.0133841146608926,-0.122881605353051,-0.0728000925637455,-0.00862168559082154,-0.0389384864365648,0.00826359530305951,-0.0223819449200261,0.0590594154351311,0.139766001474409,-0.109349368557087
"0000095.jpg",21,10,31,0.00653662438919216,0.0400399321141995,0.0310842135042289,-0.00889209681690618,-0.0860746033075878,0.026021969784024,-0.00173237599891708,-0.0325095979027089,0.0405045488687462,-0.0416116095676109
"0000096.jpg",29,8,37,0.0731081935447526,0.0129993305056486,-0.0368542473814346,-0.0770934275705332,0.0867203330115711,0.0243424754919163,0.00425320112764037,-0.00946726643727358,0.0157448993766552,-0.0332572549568737
"0000098.jpg",27,16,43,0.00559513723005315,0.0459426931495073,-0.145425997405056,-0.00898500173238811,0.0689871876995217,-0.0204301893659463,0.0611716316993569,0.0200036718085583,0.0757084167052013,-0.0916851433418133
"0000099.jpg",4,14,18,-0.00330889845412805,-0.0240774735233702,0.00058877350454943,0.0360722662045496,0.0766065993838811,-0.0135657879826168,0.0170671678481978,0.0123838770334293,-0.0531401657066662,0.0128795226532674
"0000100.jpg",1,1,2,-0.00387212688668279,0.00318592158536917,-0.0030231152480324,-0.00389479755751072,5.81466356729477e-05,-0.00899265443146822,0.00982475064516709,-0.00472764811738728,0.00472400378817586,-0.00852451851902305
"0000101.jpg",17,13,30,0.00960099694568127,0.0213639561182784,0.0130271564845142,0.0034172426154552,0.0502987070440127,-0.0304555904782646,-0.0215572961391632,-0.00695679886354929,0.0261628931134541,-0.0144123656433947
"0000102.jpg",10,13,23,-0.0118406065390982,-0.00935595100139724,-0.0201827391540515,-0.0147857430766055,0.00998834444000263,-0.0124171815421819,-0.0337637202490072,-0.00876177075963673,-0.0134927130590771,0.02886375003665
"0000103.jpg",17,5,22,0.00205644619929844,0.0177690422576198,-0.0216676124586381,-0.0558173546781788,0.0294915326046888,0.0298505937827215,0.0402894854167965,-0.0617598950990531,-0.00869497711745039,-0.00859984815690282
